step,volume_phi,phi_min,phi_max,max_u,com_x,com_y,com_z,radius_eff,rho_inside_avg,rho_outside_avg,rho_ratio_recovered,rho_ratio_expected,mu_inside_avg,mu_outside_avg,mu_ratio_recovered,mu_ratio_expected,p_inside_avg,p_outside_avg,delta_p,expected_delta_p_r0,expected_delta_p_reff,sigma_recovered_r0,sigma_recovered_reff,sigma_recovery_ratio_r0,sigma_recovery_ratio_reff,volume_phi_rel_drift,radius_eff_rel_drift,com_dx,com_dy,com_dz,com_drift,delta_p_error_percent_r0,delta_p_error_percent_reff,sigma_recovery_percent_error_r0,sigma_recovery_percent_error_reff,rho_ratio_error_percent,mu_ratio_error_percent
4000,60140.09439,3.240396562e-10,0.9999696612,0.01095471002,63.49999997,63.50000012,63.49999984,24.30478771,0.9808700946,0.0008089498044,1212.522816,100000.0025,0.009808700732,8.089498364e-06,1212.522741,99999.9966,0.002443972452,1.336907035e-07,0.002443838762,0.002499999944,0.002468649362,0.02932606514,0.02969849115,0.9775355265,0.989949727,3.005822244006268e-05,1.0019525488494387e-05,-3.000000248221113e-08,1.2000000282341716e-07,-1.5999999902760464e-07,2.0223748543577743e-07,-2.2464473303204215,-1.0050272988100573,-2.2464473500000026,-1.0050273000000054,-98.78747721431307,-98.78747721777424
4200,60140.18213,3.506173962e-10,0.999976635,0.01612738402,63.49999998,63.50000012,63.49999982,24.30479953,0.9808487385,0.0008090188642,1212.392914,100000.0025,0.009808487173,8.090188966e-06,1212.39284,99999.9966,0.002435305583,1.330582108e-07,0.002435172525,0.002499999944,0.002468648161,0.0292220703,0.02959319002,0.9740690318,0.9864396893,3.151719316834433e-05,1.0505854296333465e-05,-2.000000165480742e-08,1.2000000282341716e-07,-1.8000000068241206e-07,2.1725561210123152e-07,-2.593096818085369,-1.3560310670776188,-2.593096819999996,-1.3560310699999967,-98.78760711630983,-98.78760711877864
4400,60140.27374,3.761882195e-10,0.9999944568,0.01143273541,63.4999999,63.50000005,63.49999979,24.30481187,0.9808856202,0.0008089187518,1212.588555,100000.0025,0.009808855993,8.089187839e-06,1212.588481,99999.9966,0.002448443529,1.339897352e-07,0.00244830954,0.002499999944,0.002468646908,0.02937971448,0.02975285138,0.9793238377,0.9917617347,3.30405155801037e-05,1.1013578280166275e-05,-1.0000000116860974e-07,4.999999703159119e-08,-2.100000031646232e-07,2.379075477281518e-07,-2.0676162063145935,-0.8238265235134986,-2.0676162300000023,-0.8238265300000047,-98.78741147531473,-98.787411477772
4600,60140.36588,3.932531245e-10,0.9999587536,0.01776208282,63.49999981,63.50000006,63.4999998,24.30482428,0.9808495906,0.00080902535,1212.384248,100000.0025,0.009808495702,8.09025382e-06,1212.384175,99999.9966,0.002435249925,1.332201008e-07,0.002435116705,0.002499999944,0.002468645647,0.02922140046,0.02959254181,0.9740467037,0.9864180823,3.4572651013209887e-05,1.1524182383641997e-05,-1.9000000150981577e-07,5.99999978589949e-08,-2.0000000233721948e-07,2.8231188648673155e-07,-2.5953296181353784,-1.3581917696752297,-2.5953296299999984,-1.3581917699999946,-98.7876157823096,-98.78761578377893
4800,60140.45873,4.124056929e-10,1.000005007,0.01010674884,63.49999977,63.50000006,63.4999998,24.30483679,0.9808781253,0.0008089619524,1212.514535,100000.0025,0.00980878104,8.089619845e-06,1212.51446,99999.9966,0.002444618012,1.352295916e-07,0.002444482783,0.002499999944,0.002468644377,0.02933379339,0.02970637753,0.9777931349,0.9902126065,3.6116592569149664e-05,1.2038900944230743e-05,-2.2999999771400326e-07,5.99999978589949e-08,-2.0000000233721948e-07,3.1064449073886484e-07,-2.2206864897433753,-0.9787393528654937,-2.220686510000003,-0.9787393500000019,-98.78748549531286,-98.7874854987745
5000,60140.55325,4.35686931e-10,0.9999708533,0.01272299198,63.49999974,63.50000008,63.4999999,24.30484952,0.9808676513,0.0008089840417,1212.46848,100000.0025,0.009808676304,8.089840739e-06,1212.468406,99999.9966,0.00244133999,1.340977885e-07,0.002441205892,0.002499999944,0.002468643083,0.0292944707,0.02966657092,0.9764823785,0.9888857196,3.7688303456215386e-05,1.256267131005885e-05,-2.600000001962144e-07,7.999999951380232e-08,-1.0000000116860974e-07,2.8982753536881514e-07,-2.351762132679465,-1.11142802250122,-2.351762150000003,-1.1114280399999954,-98.78753155031171,-98.78753155277607
5200,60140.64393,4.509574381e-10,0.9999852777,0.01134486117,63.49999976,63.50000005,63.49999978,24.30486174,0.9808623304,0.0008090170469,1212.412438,100000.0025,0.009808623094,8.090170792e-06,1212.412364,99999.9966,0.002438204495,1.332915575e-07,0.002438071204,0.002499999944,0.002468641843,0.02925685444,0.02962849175,0.9752285032,0.9876164138,3.919616150999068e-05,1.3065457945472971e-05,-2.3999999854140697e-07,4.999999703159119e-08,-2.1999999688659955e-07,3.293933782472536e-07,-2.4771496554881445,-1.2383586175809538,-2.4771496800000015,-1.2383586200000019,-98.78758759231032,-98.78758759477797
5400,60140.73337,4.717096713e-10,0.9999966621,0.01586076839,63.49999985,63.50000002,63.49999973,24.30487378,0.9808839049,0.0008089602941,1212.524165,100000.0025,0.009808838833,8.089603262e-06,1212.52409,99999.9966,0.002446315304,1.347256068e-07,0.002446180579,0.002499999944,0.002468640619,0.02935416695,0.02972705511,0.9784722534,0.9909018592,4.068340041970656e-05,1.3560838558551411e-05,-1.4999999820020093e-07,2.000000165480742e-08,-2.700000010236181e-07,3.095157509384722e-07,-2.1527746482221497,-0.9098140825819423,-2.152774660000001,-0.9098140800000043,-98.78747586531311,-98.78747586877418
5600,60140.82031,4.816651522e-10,0.9999732971,0.01251204664,63.49999989,63.50000003,63.49999982,24.3048855,0.9808558926,0.0008090412234,1212.36825,100000.0025,0.009808558715,8.090412555e-06,1212.368176,99999.9966,0.002435842487,1.336639184e-07,0.002435708823,0.002499999944,0.002468639429,0.02922850588,0.02959981203,0.9742835512,0.986660423,4.2129068474350745e-05,1.4043052909423642e-05,-1.1000000199601345e-07,3.000000248221113e-08,-1.8000000068241206e-07,2.1307275948305542e-07,-2.5716448976048336,-1.3339577101925877,-2.5716448800000014,-1.3339576999999991,-98.7876317803092,-98.78763178277947
5800,60140.9079,5.148450555e-10,1.000005126,0.009825028142,63.50000003,63.49999996,63.49999987,24.3048973,0.9808847725,0.0008089744728,1212.503986,100000.0025,0.009808847515,8.089745048e-06,1212.503912,99999.9966,0.002445664244,1.346366348e-07,0.002445529607,0.002499999944,0.002468638231,0.02934635529,0.02971917297,0.9782118647,0.9906391211,4.358554495121194e-05,1.4528558825810883e-05,3.000000248221113e-08,-4.000000330961484e-08,-1.2999999654539351e-07,1.3928388103260263e-07,-2.178813528805423,-0.9360879091076546,-2.178813530000001,-0.9360878900000036,-98.7874960443126,-98.78749604677488
6000,60140.99751,5.221844068e-10,0.9999768734,0.008906121828,63.50000005,63.49999995,63.49999992,24.30490937,0.9808657725,0.0008090266324,1212.402328,100000.0025,0.009808657514,8.090266643e-06,1212.402254,99999.9966,0.002439193995,1.333108419e-07,0.002439060684,0.002499999944,0.002468637005,0.02926872821,0.02964057443,0.9756242953,0.9880191698,4.5075610679059144e-05,1.5025173775920907e-05,4.999999703159119e-08,-4.999999703159119e-08,-7.999999951380232e-08,1.067707793758509e-07,-2.4375704546015666,-1.1980830288169453,-2.4375704699999945,-1.198083019999996,-98.78759770231007,-98.78759770477832
6200,60141.08516,5.431269323e-10,0.9999991655,0.008887271977,63.50000004,63.49999985,63.49999997,24.30492117,0.9808719226,0.0008090229611,1212.415432,100000.0025,0.009808719012,8.090229933e-06,1212.415357,99999.9966,0.002440544209,1.345579664e-07,0.002440409651,0.002499999944,0.002468635805,0.02928491581,0.0296569821,0.9761638821,0.988566092,4.6533084856536914e-05,1.5510679692308146e-05,4.000000330961484e-08,-1.4999999820020093e-07,-3.000000248221113e-08,1.5811388260921985e-07,-2.3836117733928917,-1.143390772459445,-2.3836117899999953,-1.1433907999999993,-98.7875845983104,-98.78758460177787
6400,60141.17616,5.532963532e-10,0.9999918342,0.01570129773,63.49999999,63.49999975,63.49999997,24.30493343,0.9808818089,0.0008089966627,1212.467065,100000.0025,0.009808817875,8.089966949e-06,1212.46699,99999.9966,0.002444496598,1.342195222e-07,0.002444362379,0.002499999944,0.00246863456,0.02933234855,0.02970503245,0.9777449734,0.9901677705,4.8046263979743e-05,1.6015112110479772e-05,-1.000000082740371e-08,-2.499999993688107e-07,-3.000000248221113e-08,2.519920630692286e-07,-2.225502649851251,-0.9832229279006695,-2.2255026600000005,-0.9832229499999956,-98.78753296531167,-98.78753296877612
6600,60141.26948,5.78581405e-10,0.9999876618,0.00811743369,63.50000001,63.49999981,63.50000001,24.304946,0.9808619046,0.0008090621364,1212.344344,100000.0025,0.009808618839,8.090621686e-06,1212.34427,99999.9966,0.002436808404,1.331145632e-07,0.00243667529,0.002499999944,0.002468633283,0.02924010347,0.02961163067,0.9746701376,0.9870543778,4.959802085641302e-05,1.653229934527786e-05,1.000000082740371e-08,-1.9000000150981577e-07,1.000000082740371e-08,1.9052559042508212e-07,-2.532986216738892,-1.2945621862945755,-2.5329862400000014,-1.294562219999995,-98.78765568630861,-98.78765568878029
6800,60141.35861,5.884636112e-10,1.000010967,0.01031811866,63.49999992,63.49999979,63.49999995,24.30495801,0.9808864368,0.0008090021429,1212.464572,100000.0025,0.009808864156,8.090021749e-06,1212.464498,99999.9966,0.002445554027,1.332593241e-07,0.002445420767,0.002499999944,0.002468632064,0.02934504921,0.02971792454,0.9781683289,0.9905975067,5.108010498005355e-05,1.702644562117854e-05,-7.999999951380232e-08,-2.100000031646232e-07,-4.999999703159119e-08,2.3021729073748837e-07,-2.1831671289029293,-0.9402493526066289,-2.183167109999995,-0.9402493299999981,-98.78753545831161,-98.7875354607762
7000,60141.44985,6.055863588e-10,0.999984026,0.008618958194,63.49999985,63.49999973,63.49999987,24.3049703,0.9808662363,0.0008090592945,1212.353956,100000.0025,0.009808662152,8.090593267e-06,1212.353882,99999.9966,0.002438404138,1.340473847e-07,0.002438270091,0.002499999944,0.002468630816,0.02925924109,0.02963104107,0.9753080581,0.9877013911,5.259727490524198e-05,1.7532112376527928e-05,-1.4999999820020093e-07,-2.700000010236181e-07,-1.2999999654539351e-07,3.3511192028129405e-07,-2.46919417530995,-1.2298608930595252,-2.4691941900000014,-1.2298608900000008,-98.78764607430884,-98.78764607677996
